Title,Artist,Decade,Energy
Stairway To Heaven,Led Zeppelin,1970s,Low
Bohemian Rhapsody,Queen,1970s,High
Smells Like Teen Spirit,Nirvana,1990s,High
Sweet Child O' Mine,Guns N' Roses,1980s,High
Hotel California,Eagles,1970s,Low
Back In Black,AC/DC,1980s,High
Comfortably Numb,Pink Floyd,1970s,Low
Dream On,Aerosmith,1970s,High
Whole Lotta Love,Led Zeppelin,1970s,High
Purple Rain,Prince,1980s,Low
Free Bird,Lynyrd Skynyrd,1970s,High
Enter Sandman,Metallica,1990s,High
One,Metallica,1980s,High
Thunderstruck,AC/DC,1990s,High
Under the Bridge,Red Hot Chili Peppers,1990s,Low
Losing My Religion,R.E.M.,1990s,Low
Black Hole Sun,Soundgarden,1990s,High
Jeremy,Pearl Jam,1990s,High
Wonderwall,Oasis,1990s,Low
Creep,Radiohead,1990s,Low
Another Brick in the Wall,Pink Floyd,1970s,High
Baba O'Riley,The Who,1970s,High
Kashmir,Led Zeppelin,1970s,High
Born to Run,Bruce Springsteen,1970s,High
Rock and Roll,Led Zeppelin,1970s,High
More Than a Feeling,Boston,1970s,High
Layla,Derek and the Dominos,1970s,High
Sultan of Swing,Dire Straits,1970s,High
Wish You Were Here,Pink Floyd,1970s,Low
Roxanne,The Police,1970s,High
Paranoid,Black Sabbath,1970s,High
Highway to Hell,AC/DC,1970s,High
Walk This Way,Aerosmith,1970s,High
Go Your Own Way,Fleetwood Mac,1970s,High
Barracuda,Heart,1970s,High
American Girl,Tom Petty,1970s,High
Alive,Pearl Jam,1990s,High
Plush,Stone Temple Pilots,1990s,High
Rooster,Alice in Chains,1990s,Low
Zombie,The Cranberries,1990s,High
Basket Case,Green Day,1990s,High
Killing in the Name,Rage Against the Machine,1990s,High
Sabotage,Beastie Boys,1990s,High
Buddy Holly,Weezer,1990s,High
Everlong,Foo Fighters,1990s,High
Song 2,Blur,1990s,High
Fly Away,Lenny Kravitz,1990s,High
Scar Tissue,Red Hot Chili Peppers,1990s,Low
Livin' On A Prayer,Bon Jovi,1980s,High
Don't Stop Believin',Journey,1980s,High
Pour Some Sugar On Me,Def Leppard,1980s,High
You Shook Me All Night Long,AC/DC,1980s,High
Welcome To The Jungle,Guns N' Roses,1980s,High
Jump,Van Halen,1980s,High
Sharp Dressed Man,ZZ Top,1980s,High
Here I Go Again,Whitesnake,1980s,High
Crazy Train,Ozzy Osbourne,1980s,High
Tom Sawyer,Rush,1980s,High
Photograph,Def Leppard,1980s,High
Run to the Hills,Iron Maiden,1980s,High
Ace of Spades,Motorhead,1980s,High
Master of Puppets,Metallica,1980s,High
Cult of Personality,Living Colour,1980s,High
Jane Says,Jane's Addiction,1980s,Low
With or Without You,U2,1980s,Low
Every Breath You Take,The Police,1980s,Low
Love Will Tear Us Apart,Joy Division,1980s,High
Blue Monday,New Order,1980s,High
Should I Stay or Should I Go,The Clash,1980s,High
Start Me Up,The Rolling Stones,1980s,High
Paradise City,Guns N' Roses,1980s,High
White Wedding,Billy Idol,1980s,High
Rebel Yell,Billy Idol,1980s,High
Summer of '69,Bryan Adams,1980s,High
Pride (In the Name of Love),U2,1980s,High
Radio Free Europe,R.E.M.,1980s,High
Once in a Lifetime,Talking Heads,1980s,High
Personal Jesus,Depeche Mode,1980s,High
Epic,Faith No More,1980s,High
Blister in the Sun,Violent Femmes,1980s,High
Sweet Emotion,Aerosmith,1970s,High
Smoke on the Water,Deep Purple,1970s,High
Iron Man,Black Sabbath,1970s,High
All Right Now,Free,1970s,High
Maggie May,Rod Stewart,1970s,High
Won't Get Fooled Again,The Who,1970s,High
Black Dog,Led Zeppelin,1970s,High
Superstition,Stevie Wonder,1970s,High
Money,Pink Floyd,1970s,High
La Grange,ZZ Top,1970s,High
The Joker,Steve Miller Band,1970s,Low
Radar Love,Golden Earring,1970s,High
Slow Ride,Foghat,1970s,High
School's Out,Alice Cooper,1970s,High
Rebel Rebel,David Bowie,1970s,High
Suffragette City,David Bowie,1970s,High
The Boys Are Back in Town,Thin Lizzy,1970s,High
Dust in the Wind,Kansas,1970s,Low
Carry On Wayward Son,Kansas,1970s,High
Dream Police,Cheap Trick,1970s,High
